EstablecimientoCodigo;EstablecimientoGlosa;EstablecimientoCodigoAntiguo;EstablecimientoCodigoMadreAntiguo;EstablecimientoCodigoMadreNuevo;RegionCodigo;RegionGlosa;SeremiSaludCodigo_ServicioDeSaludCodigo;SeremiSaludGlosa_ServicioDeSaludGlosa;TipoPertenenciaEstabGlosa;TipoEstablecimientoGlosa;AmbitoFuncionamiento;Certificacion;DependenciaAdministrativa;NivelAtencionEstabglosa;ComunaCodigo;ComunaGlosa;TipoViaGlosa;Numero;NombreVia;TelefonoMovil_TelefonoFijo;FechaInicioFuncionamientoEstab;TieneServicioUrgencia;TipoUrgencia;ClasificacionTipoSapu;Latitud;Longitud;TipoSistemaSaludGlosa;EstadoFuncionamiento;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa;FechaIncorporacion
126301;Centro de Salud Familiar Dr. Juan Damianovic;26-301;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1102;Zenteno;800500988;;NO;No Aplica;No Aplica;-53.174949;-70.937956;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126203;Centro de Salud Mutual CChC Punta Arenas;26-203;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1890;España;612207800;;NO;No Aplica;No Aplica;-53.168237;-70.922324;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200473;Laboratorio Clínico de Agostini y Cia. Ltda.;26-904;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;472;Perez de Arce;612244454;17-07-2008;NO;No Aplica;No Aplica;-53.168016;-70.91972;Privado;Vigente en Operación Habitual;;No Aplica;
126228;Laboratorio Clínico Corporación Municipal Punta Arenas;26-228;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Municipal;No Aplica;12101;Punta Arenas;Calle;1890;España;;;NO;No Aplica;No Aplica;-53.167827;-70.920882;Público;Vigente en Operación Habitual;;No Aplica;
126030;Unidad de Salud Funcionario  S.S Magallanes;26-030;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Unidad de Salud Funcionarios;Unidad de Atención;No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;1228;Lautaro Navarro;;29-01-2021;NO;No Aplica;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126010;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);26-010;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dirección Servicio de Salud;Unidad de Atención;No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro;;;NO;No Aplica;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126011;PRAIS (S.S Magallanes);26-011;26-010;126010.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Programa de Atención;No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro;;;NO;No Aplica;No Aplica;-53.165562;-70.908047;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200171;SAPU 18 de Septiembre;26-900;26-302;126302.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano;612260730;;SI;Urgencia Ambulatoria (SAPU);Corto;-53.165297;-70.930831;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126302;Centro de Salud Familiar 18 Septiembre;26-302;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano;800500986;;NO;No Aplica;No Aplica;-53.165219;-70.931067;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126095;Vacunatorio SEREMI de Salud Magallanes;26-095;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;No Aplica;SEREMI de Salud;Primario;12101;Punta Arenas;Calle;756;Balmaceda;612291374;;NO;No Aplica;No Aplica;-53.164875;-70.910293;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126212;Clínica de Recuperación Hogar de Cristo Juan Pablo II;26-212;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;736;Balmaceda;612242215;;NO;No Aplica;No Aplica;-53.164726;-70.91057;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
200700;Centro Diagnóstico  Clinica  Magallanes;26-908;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;890;Presidente Pedro Montt;;;NO;No Aplica;No Aplica;-53.16293;-70.923197;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
126214;Centro Médico y Dental MegaSalud S.A Punta Arenas;26-214;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro Médico y Dental;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;890;Puerto Montt;612241110;;NO;No Aplica;No Aplica;-53.162831;-70.905418;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
200542;Laboratorio Magallanes;26-906;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Avenida;1040-D;Cristobal Colón;612244454;17-03-1978;NO;No Aplica;No Aplica;-53.161713;-70.900754;Privado;Vigente en Operación Habitual;;No Aplica;
200921;Laboratorio Clínico Medi-Lab S.A;26-912;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;504;Monseñor Fagnano;61-2615165;06-01-2010;NO;No Aplica;No Aplica;-53.161592;-70.90533;Privado;Vigente en Operación Habitual;;No Aplica;
126211;Centro Médico Medvital;26-211;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1057;Armando Sanhueza;612235485;;NO;No Aplica;No Aplica;-53.161227;-70.911645;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126222;Policlínico de la Fuerzas Armadas y de Orden;26-222;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Calle;611;José Menendez;612241206;;NO;No Aplica;No Aplica;-53.160682;-70.908544;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126225;Clínica Croacia;26-225;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;1053;Sarmiento;612228903;;NO;No Aplica;No Aplica;-53.158399;-70.896966;Privado;Vigente en Operación Habitual;Pendiente;Atención Abierta-Ambulatoria;
126213;Instituto Médico Sarmiento;26-213;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;607;Sarmiento;612238587;;NO;No Aplica;No Aplica;-53.155788;-70.903864;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126304;Centro de Salud Familiar Carlos Ibáñez;26-304;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Avenida;;Eduardo Frei;800500987;;NO;No Aplica;No Aplica;-53.155217;-70.93044;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201069;SAPU Carlos  Ibañez;;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Avenida;1102;Frei;612281443;01-06-2021;SI;Urgencia Ambulatoria (SAPU);Corto;-53.155217;-70.93044;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
133206;Laboratorio Biolab Ltda;33-206;;;10;Región De Los Lagos;10.0;SEREMI De Los Lagos;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;10208;Quellón;Calle;202;Santos Vargas;;;NO;No Aplica;No Aplica;-43.119468;-73.614694;Privado;Vigente en Operación Habitual;;No Aplica;
126227;Central Odontológica de Magallanes de 3era Zona Naval;26-227;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Avenida;256;Bulnes;612207511;;NO;No Aplica;No Aplica;-53.154624;-70.901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126200;Hospital FFAA Cirujano Guzmán;26-200;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12101;Punta Arenas;Avenida;256;Bulnes;612207500;;SI;Urgencia Hospitalaria (UEH);No Aplica;-53.154624;-70.901345;Fuerzas Armadas y de Orden;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
200709;Centro Diurno (pertenece a SENAMA);26-910;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;No Aplica;Servicio de Salud;Primario;12101;Punta Arenas;Avenida;862;Eduardo Frei Montalva;;;NO;No Aplica;No Aplica;-53.15366;-70.911982;Público;Vigente en Operación Transitoria;Baja Complejidad;Atención Abierta-Ambulatoria;
126303;Centro de Salud Familiar Dr. Thomas Fenton;26-303;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;762;Prolongación Velastegui;800500989;;NO;No Aplica;No Aplica;-53.148209;-70.887538;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126219;Centro de Rehabilitación Club de Leones Cruz del Sur;26-219;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1411;Suiza;612217396;;NO;No Aplica;No Aplica;-53.143158;-70.881773;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126300;Centro de Salud Familiar Dr. Mateo Bencur;26-300;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo;800500990;;NO;No Aplica;No Aplica;-53.142118;-70.912631;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126800;SAPU Dr. Mateo Bencur;26-800;26-300;126300.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo;612210142;;SI;Urgencia Ambulatoria (SAPU);Corto;-53.141867;-70.912506;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201245;CEINSA;;;;13;Región Metropolitana de Santiago;13.0;SEREMI Metropolitana de Santiago;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;No Aplica;Privado;No Aplica;13201;Puente Alto;Calle;431;Eduardo Cordero;227922092;07-06-2022;NO;No Aplica;No Aplica;-33.605288;-70.570507;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
126220;Policlínico AChS (Punta Arenas);26-220;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;0148-A;Presidente Manuel Bulnes;612206400;;NO;No Aplica;No Aplica;-53.137931;-70.887143;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126201;Clínica Magallanes;26-201;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;No Aplica;Privado;Terciario;12101;Punta Arenas;Avenida;1448;Bulnes;612227301;;SI;Urgencia Hospitalaria (UEH);No Aplica;-53.137303;-70.887283;Privado;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
126202;Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas;26-202;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1643;Bulnes;612210738;;NO;No Aplica;No Aplica;-53.136785;-70.884704;Privado;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200708;UMAG (pertenece a la Facultad de Ciencias de la Salud);26-909;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud;No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Avenida;1855;Pdte. Manuel Bulnes;;;NO;No Aplica;No Aplica;-53.133711;-70.929482;Público;Vigente en Operación Transitoria;Pendiente;Pendiente;
200541;Clínica IMET;26-905;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;4236;Presidente Manuel Bulnes;612363000;04-05-2018;NO;No Aplica;No Aplica;-53.129674;-70.877252;Privado;Vigente en Operación Habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
126700;Centro Comunitario de Salud Familiar Dr. Mateo Bencur;26-700;26-300;126300.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1814;Juan Ruiz García;612215133;;NO;No Aplica;No Aplica;-53.126517;-70.918091;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126100;Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;26-100;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Autogestionado en Red (EAR);Servicio de Salud;Terciario;12101;Punta Arenas;Calle;1364;Los Flamencos;612293000;16-11-1983;SI;Urgencia Hospitalaria (UEH);No Aplica;-53.12215;-70.896232;Público;Vigente en Operación Habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
126701;Centro Comunitario de Salud Familiar Río Seco;26-701;26-303;126303.0;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Sector Río Seco;;;NO;No Aplica;No Aplica;-53.057548;-70.857881;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126402;Posta de Salud Rural Río Verde;26-402;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;12103;Río Verde;Calle;;Caserío de Río Verde;95556218;;NO;No Aplica;No Aplica;-52.651092;-71.463417;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126403;Posta de Salud Rural Tehuelches;26-403;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;12102;Laguna Blanca;Calle;;Caserío de Villa Tehuenches;88292090;;NO;No Aplica;No Aplica;-52.428269;-71.413018;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
126404;Posta de Salud Rural Punta Delgada;26-404;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;No Aplica;Municipal;Primario;12104;San Gregorio;Calle;;Sector Punta Delgada;90259359;;NO;No Aplica;No Aplica;-52.316378;-69.689584;Público;Vigente en Operación Habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
200472;Laboratorio Clínico Biohealth;26-903;;;12;Región De Magallanes y de la Antártica Chilena;12.0;SEREMI De Magallanes y la Antártica Chilena;No Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;No Aplica;Privado;No Aplica;12401;Natales;Calle;781;Baquedano;962170366;29-07-2015;NO;No Aplica;No Aplica;-51.731515;-72.499538;Privado;Vigente en Operación Habitual;;No Aplica;
126101;Hospital Dr. Augusto Essmann Burgos ( Natales);26-101;;;12;Región De Magallanes y de la Antártica Chilena;26.0;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;No Aplica;Servicio de Salud;Terciario;12401;Natales;Calle;537;Ignacio Carrera Pinto;612291012;11-09-2017;SI;Urgencia Hospitalaria (UEH);No Aplica;-51.730327;-72.506046;Público;Vigente en Operación Habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
